Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
RAMP,"LiveRamp Holdings, Inc.",34.58,$2.33B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ramp
CC,Chemours Company (The),14.13,$2.32B,2015,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/cc
SHAK,"Shake Shack, Inc.",61.67,$2.32B,2015,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/shak
HEP,"Holly Energy Partners, L.P.",20.85,$2.2B,2004,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/hep
YELP,Yelp Inc.,31.4,$2.2B,2012,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/yelp
BOX,"Box, Inc.",15.28,$2.29B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/box
TDS,"Telephone and Data Systems, Inc.",19.91,$2.29B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/tds
RPAI,"Retail Properties of America, Inc.",10.63,$2.27B,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rpai
SUN,Sunoco LP,27.33,$2.27B,2012,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/sun
ADNT,Adient plc,24,$2.25B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
POL,PolyOne Corporation,24.4,$2.25B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/pol
SITC,SITE Centers Corp.,11.59,$2.25B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sitc
SUM,"Summit Materials, Inc.",19.76,$2.24B,2015,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/sum
ATI,Allegheny Technologies Incorporated,17.72,$2.23B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati
EVTC,"Evertec, Inc.",30.68,$2.21B,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/evtc
OSB,Norbord Inc.,27.19,$2.21B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/osb
GOL,Gol Linhas Aereas Inteligentes S.A.,11.89,$2.1B,2004,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/gol
EAF,GrafTech International Ltd.,7.8,$2.1B,2018,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/eaf
AIN,Albany International Corporation,67.65,$2.19B,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
CMC,Commercial Metals Company,18.48,$2.19B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/cmc
SIX,Six Flags Entertainment Corporation New,25.84,$2.19B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/six
TDC,Teradata Corporation,19.46,$2.19B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/tdc
NNI,"Nelnet, Inc.",54.93,$2.18B,2003,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nni
SEAS,"SeaWorld Entertainment, Inc.",27.68,$2.18B,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/seas
CXP,"Columbia Property Trust, Inc.",18.86,$2.17B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxp
SAIL,"SailPoint Technologies Holdings, Inc.",24.22,$2.17B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sail
IBA,"Industrias Bachoco, S.A. de C.V.",43.25,$2.16B,1997,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/iba
TPH,"TRI Pointe Group, Inc.",15.9,$2.16B,2013,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/tph
WWW,"Wolverine World Wide, Inc.",26.76,$2.16B,n/a,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/www
PMT,PennyMac Mortgage Investment Trust,21.45,$2.15B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pmt
TAC,TransAlta Corporation,7.77,$2.15B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/tac
AEO,"American Eagle Outfitters, Inc.",12.81,$2.14B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
INSP,"Inspire Medical Systems, Inc.",88.51,$2.14B,1998,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/insp
